Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Peru,PER,Land area (sq. km),AG.LND.TOTL.K2,..,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,..
Peru,PER,"Population, total",SP.POP.TOTL,10172207,10478096,10792094,11112665,11442301,11781581,12127990,12481626,12843249,13213739,13562371,13911968,14292437,14674785,15057175,15441497,15826813,16224613,16638480,17059185,17492406,17932344,18374372,18826906,19285646,19746610,20208437,20671360,21143799,21624311,22109099,22583006,23047248,23513882,23983258,24449055,24907304,25365386,25818226,26252239,26654439,27014909,27334503,27623341,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588
Philippines,PHL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,31344414618.0554,33129626647.1675,34735185818.2593,37172298567.4811,38437083957.8661,40491580431.0007,42289875710.874,44498543801.1251,46740451367.1383,48932332420.2076,50739152671.6999,53473489879.4927,56377307586.4731,61328367881.6643,63410224569.6065,66866781140.7748,72736616883.4436,76782933242.6264,80769798390.2102,85289329867.0047,89724981494.6983,92795557651.163,96227514214.481,98052903767.4515,91150589033.9765,84899137810.1229,87879678282.8773,91712822590.6252,97854767133.6784,103906025890.799,107109108406.452,106641694882.018,107087061596.425,109423583469.284,114209405445.944,119491847553.059,126494485497.915,133055010260.823,132370986960.853,136800717421.254,142796015474.465,147150196573.135,152618673113.125,160382249390.005,170918125844.81,179365762963.607,188901594557.582,201216640249.747,209958471641.13,212999348608.119,228621785747.318,237442546536.882,253818844311.735,270952964845.908,288153025138.083,306445871631.969,328355086686.48,351113339412.022,373379141170.569,396224439740.441,358510629732.238,378998555471.402,407690006246.006
Philippines,PHL,Land area (sq. km),AG.LND.TOTL.K2,..,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298230,298190,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,..
Philippines,PHL,"Population, total",SP.POP.TOTL,28486871,29342411,30185979,31043711,31916622,32805538,33704749,34616857,35544973,36477170,37435586,38421746,39412479,40406234,41388324,42394433,43474370,44646518,45890739,47154232,48419546,49679330,50938522,52219685,53514959,54812660,56109838,57415175,58755923,60127343,61558898,63039751,64543525,66083321,67650283,69250468,70944969,72718837,74491918,76249064,77958223,79626086,81285572,82942837,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009
Poland,POL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,194797367584.792,181131204775.169,185686615837.644,192628157713.225,202823584825.574,217229871335.721,230514657116.328,245380554450.192,256767475792.546,268719724101.34,280975991510.811,284512269531.768,290304549675.023,300460538532.962,315432020161.825,326493699429.633,346511473670.248,370980501392.758,386561612946.014,397509749303.621,409175222178.008,429806605650.617,436448070035.814,440186496882.876,457076270062.343,477111287969.227,491202812044.038,516450722907.547,547154795065.659,571503382411.46,559958349913.782,598302957951.983,627464385196.976
Poland,POL,Land area (sq. km),AG.LND.TOTL.K2,..,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306240,306330,306330,306320,306320,306300,306280,306280,306230,306220,306210,306190,306190,306190,306190,306170,306110,306130,306100,..
Poland,POL,"Population, total",SP.POP.TOTL,29637450,29964000,30308500,30712000,31139450,31444950,31681000,31987155,32294655,32548300,32664300,32783500,33055650,33357200,33678899,34015199,34356300,34689050,34965600,35247217,35574150,35898587,36230481,36571808,36904134,37201885,37456119,37668045,37824487,37961529,38110782,38246193,38363667,38461408,38542652,38594998,38624370,38649660,38663481,38660271,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,37561599
Portugal,PRT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,34854622961.68,36783792699.4194,39216837454.8965,41520317666.377,44140560026.7447,47437413392.1952,49371868148.1522,53096720114.8056,57809324411.4227,59035310549.5143,66481201352.3269,70890003936.0043,76572330934.3375,85148946573.3098,86122079248.932,82377809425.4785,88062068085.7543,92995831146.0664,95614562274.7027,101006207990.821,105641726219.543,107351119444.742,109643468494.882,109453660796.144,107395954860.652,110411030622.129,114983102465.714,122320627422.591,131481351670.397,139949591199.726,145478331657.148,151833125542.386,153487311625.174,150351141407.788,151801786241.278,158303123479.596,163850456044.527,171061297929.066,179285861799.304,186289802829.511,193398953419.572,197157995297.652,198677933649.212,196829193371.541,200349947385.126,201916379874.368,205197590054.868,210341031080.276,211012540457.556,204424561357.608,207976694614.767,204449067168.824,196153968235.59,194344164093.789,195883739714.001,199394066525.44,203420800578.641,210553436228.057,216552789892.193,222362381347.62,203905156212.017,215125562437.773,229508322275.621
Portugal,PRT,Land area (sq. km),AG.LND.TOTL.K2,..,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91470,91470,91470,91470,91590,91590,91590,91590,91605.2,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,91605.6,..
